Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"NOYADA 5 mg/5 ml, solution buvableNOYADA 25 mg/5 ml, solution buvable",Captopril,ATU cohorte,"Octroi : 02/02/2016 
Arrêt : 11/09/2017",14/06/17,0,,Martindale Pharmaceuticals Limited
"NUSINERSEN 2,4 mg/ml, solution injectable",Nusinersen,ATU cohorte,"Octroi : 12/05/2017
Arrêt : 21/08/2017",01/06/17,0,,Biogen Idec Ltd
"OCALIVA 5 mg, comprimés pelliculés",Acide obéticholique,ATU cohorte,"ATU cohorte : 08/11/2016
PUT : 08/11/2016",12/12/16,0,,Intercept France
"OCRELIZUMAB 300 mg, solution à diluer pour perfusion",Ocrelizumab,ATU cohorte,"ATU cohorte : octroi le 07/12/2017
Arrêt ATU : 23/02/2018",08/01/18,0,,Roche
"OPDIVO 10 mg/ml, solution à diluer pour perfusion",Nivolumab,RTU,"RTU établie le 30 juillet 2018
Début prévu lors de la publication de l’arrêté de prise en charge correspondant ",,,,
"OSPOLOT 50 mg, comprimé pelliculé OSPOLOT 200 mg, comprimé pelliculé sécable",Sultiame,ATU cohorte, octroyée et débutée en mars 2015,,,,
"PALBOCICLIB  75 mg, 100 mg et 125 mg, gélules",Palbociclib,ATU cohorte,"Octroi : 20/11/2015
Arrêt : 16/01/2017",09/11/2016 (IBRANCE),0,,Pfizer
"PATISIRAN 2 mg/mL, solution à diluer pour perfusion",Patisiran,ATU cohorte ,"octroyée le 21/06/2018
Début de l'ATU prévu par le laboratoire : le 22/08/2018",,,,
"PETINIMID 250 mg, capsule molle",Ethosuximide,ATU cohorte ,"octroyée : avril 2017
Début ATU prévu par le laboratoire : mai 2017",,,,
"PROHIPPUR 750 mg/g, granulés",Benzoate de sodium,ATU cohorte ,octroyée et débutée en février 2017,,,,
"QIZENDAY 100 mg, gélule",Biotine,ATU cohorte ,"octroyée le 01/06/2016
Début ATU prévu par le laboratoire : 18/07/2016",,,,
RADICUT ® en poche pour perfusion par voie intraveineuse,Edaravone,ATU Nominative,,,,,
REMICADE et l’ensemble des spécialités biologiques similaires d’Infliximab,Infliximab,RTU,"RTU établie le 27/10/2017
Début prévu lors de la publication de l’arrêté de prise en charge correspondant",,,,
"SALBUMOL/VENTOLIN 2 mg, comprimés VENTOLIN 2 mg/5 ml, sirop",Salbutamol,ATU nominative,,,,,
"SIRDALUD 4 mg, comprimé sécable",Tizanidine,ATU cohorte,Début : mai 2014,,,,
"TAFINLAR 75 mg, géluleTAFINLAR 50 mg, géluleMEKINIST 2 mg, compriméMEKINIST 0,5 mg",Dabrafénib - Tramétinib,RTU,"RTU établie le 31 juillet 2018
Début prévu lors de la publication de l’arrêté de prise en charge correspondant ",,,,
"TEGSEDI 284 mg/1,5 mL, solution injectable en seringue préremplie",Inotersen,ATU cohorte ,"octroyée le 21/06/2018
Début de l'ATU prévu par le laboratoire : le 20/08/2018",,,,
"THALIDOMIDE CELGENE 50 mg, gélule",Thalidomide,RTU,"RTU octroyée le 05/05/2015 
Début le 08/06/2015
Révisée le 17/10/16",,,,
"TMC 207 100 mg, comprimés",Bédaquiline,ATU cohorte,"Octroi : 02/2014 
Arrêt : 18/02/2016",05/03/2014 (SIRTURO),0,,Janssen-Cilag
"UPTRAVI (selexipag) 200 µg, 400 µg, 600 µg, 800 µg, 1 000 µg, 1 200 µg, 1 400 µg, 1 600 µg, comprimés pelliculés",Selexipag,ATU cohorte,"Octroi : 21/03/2016
Arrêt : 19/09/2016",12/05/16,0,,Actelion Pharmaceuticals France
"URSOFALK 250 mg/5 ml, suspension buvable",Acide ursodésoxycholique,ATU cohorte ,"octroyée le 02/01/2018
Début de l'ATU prévu par le laboratoire :15/02/2018",,,,
"UVESTEROL VITAMINE ADEC, solution buvable","Vitamines A , D, E et C",RTU,"RTU établie le 01 février 2017
Début le 03 février 2017",,,,
"VELCADE 1 mg, poudre pour solution injectable VELCADE 3,5 mg, poudre pour solution injectable",Bortézomib,RTU,"RTU octroyée le 02/03/2015 
Début le 02/04/2015",,,,
"VENETOCLAX AbbVie 10 mg, 50 mg et 100 mg, comprimés pelliculés",Vénétoclax,ATU cohorte,"ATU de cohorte : 22/08/2016
PUT : 23/08/2016",05/12/2016 (VENCLYXTO),0,,Laboratoire Abbvie
"VERAPAMIL (Spécialités orales )ISOPTINE 40 mg, comprimé enrobé ISOPTINE 120 mg, gélule ISOPTINE L.P. 240 mg, comprimé pelliculé sécable à libération prolongée VERAPAMIL SANDOZ 120 mg, comprimé pelliculé VERAPAMIL SANDOZ L.P. 240 mg, comprimé pelliculé sécable à libération prolongée VERAPAMIL TEVA 40 mg, comprimé pelliculéVERAPAMIL TEVA 120 mg, comprimé pelliculéVERAPAMIL TEVA L.P. 120 mg, gélule à libération prolongée VERAPAMIL TEVA L.P. 240 mg, gélule à libération prolongée VERAPAMIL MYLAN L.P. 120 mg, comprimé pelliculé à libération prolongée VERAPAMIL MYLAN L.P. 240 mg, comprimé pelliculé sécable à libération prolongée VERAPAMIL BIOGARAN L.P. 240 mg, gélule à libération prolongée VERAPAMIL EG L.P. 240 mg, comprimé pelliculé sécable à libération prolongée VERAPAMIL RATIOPHARM L.P. 240 mg, comprimé pelliculé sécable à libération prolongée ",Vérapamil,RTU,"RTU octroyée le 03/08/2015
Débutée le 12/10/2015",,,,
VYXEOS 44 mg/100 mg poudre pour solution à diluer pour perfusion,Daunorubicine et cytarabine.,ATU cohorte ,"octroyée le 27/07/2018
Début de l'ATU prévu par le laboratoire : 20/08/2018 ",,,,
"WAKIX 20 mg, comprimé pelliculé quadrisécable",Pitolisant,ATU cohorte,"Octroi : juin 2014
Arrêt : 01/06/2016",31/03/16,0,,Bioprojet Pharma
"YESCARTA, 1 x 106  - 2 x 106  cellules/ kg dispersion pour perfusion",Axicabtagene ciloleucel,ATU de cohorte,"Octroi : 17/07/2018
Début de l'ATU prévu par le laboratoire : 30/07/2018",,,,
"ZANAMIVIR 10 mg/ml, solution à diluer pour perfusion intraveineuse",Zanamivir,ATU nominative,,,,,
"ROACTEMRA, 20 mg/ml solution à diluer pour perfusion",Tocilizumab,RTU,"Arrêt : 19/12/2016
Début : 07/04/2014",,0,,
"STELARA 45 mg, solution injectable en flaconSTELARA 90 mg, solution injectable en seringue préremplie",Ustekinumab,RTU,"Arrêt : 03/10/2017
Début : 25/11/2015",,0,,
"TRUVADA 200 mg/245 mg, comprimé pelliculé",Emtricitabine/Ténofovir disoproxil,RTU,"Arrêt : 28/02/2017
Début : 04/01/2016",,0,,
"XALKORI 200 mg, gélule XALKORI 250 mg, gélule",Crizotinib,RTU,"Début : 27/07/2016
Arrêt : 17/03/2017",,0,,
"INSPRA 25 mg, comprimé pelliculé INSPRA 50 mg, comprimé pelliculé Et l’’ensemble des spécialités identifiées comme génériques.",Eplérénone,RTU,"RTU établie le 18 juin 2018
Début prévu lors de la publication de l’arrêté de prise en charge correspondant et du choix par les laboratoires de la CRO en charge du suivi",,0,,
"NERVIFENE 100 mg/ml, solution buvable",chloral (hydrate),, ,,, ,INTERDELTA SA
"CATAPRESS TTS 0,2 mg/24h, dispositif transdermique",clonidine (chlorhydrate),, ,,, ,LABORATOIRES BOEHRINGER INGELHEIM ITALIA SPA
"MARINOL 2,5 mg, capsule molle",dronabinol,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,UNIMED PHARMACEUTICALS INC
"NEURONTIN 250 mg/ 5ml, solution buvable",gabapentine,, ,,, ,PFIZER INC
"NOLOTIL 2 g/5 ml, solution injectable",métamizole magnésium,, ,,, ,BOEHRINGER INGELHEIM FRANCE
"ZOSTRIX 0,025%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ZOSTRIX HP 0,075%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ANTICHOLIUM 2 mg/5 ml, solution injectable",physostigmine (salicylate),, ,,, ,LABORATOIRE KOHLER CHEMIE
"LEGALON-SIL 350 mg, poudre pour solution injectable",silibinine,, ,,, ,LABORATOIRES ROTTAPHARMA
"BAY 73-4506 40 mg, comprimés pelliculés",regorafenib,,14/10/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en août 2013 sous la dénomination STIVARGA.,BAYER SANTÉ
"BIB W 2992 40 mg, comprimé",afatinib,, ,,, ,BOEHRINGER INGELHEIM FRANCE
"CRIZOTINIB GELULE 200 mg, gélule",crizotinib,,16/01/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2012 sous la dénomibnation Xalkori.,PFIZER
"CRIZOTINIB GELULE 250 mg, gélule",crizotinib,,16/01/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2012 sous la dénomibnation Xalkori.,PFIZER
"CRIZOTINIB PFIZER NOURRISSONS ET ENFANTS 25 mg/ml, solution buvable",crizotinib,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'afssaps et auprès du laboratoire PFIZER (tél. : 01 58 07 30 00).,PFIZER
"ENZALUTAMIDE ASTELLAS 40 mg, capsule molle",enzalutamide,,31/10/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en juin 2013 sous la dénomibnation XTANDI.,ASTELLAS PHARMA EUROPE B.V.
"GDC-0449 150 mg, gélule",vismodegib,,11/10/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en juillet 2013 sous la dénomination EVIREDGE.,ROCHE - CENTRE DE DISTRIBUTION
"GSK 2118436 50 mg, gélule",dabrafénib,,07/10/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en août 2013 sous la dénomination TAFINLAR.,GLAXOSMITHKLINE FRANCE
"GSK 2118436 75 mg, gélule",dabrafénib,,07/10/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en août 2013 sous la dénomination TAFINLAR.,GLAXOSMITHKLINE FRANCE
"HEXALEN 50 mg, gélule",altrétamine,, ,,,"Cette spécialité est mise à disposition le temps de la rupture de stock de la spécialité HEXASTAT 100 mg, gélule.",EISAI  INC
"LDK 378 150 mg, gélule", céritinib,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire NOVARTIS PHARMA (tel. : 01.55.47.68.15).,NOVARTIS PHARMA S.A.S.
"PN 401, granulés",uridine triacetate,, ,,,Ce médicament est aussi connu sous le nom de vistonuridine.,WELLSTAT THERAPEUTICS
"ARGIPRESSIN  20 UI/ml, solution injectable",arginine vasopressine,, ,,, ,MERCURY PHARMACEUTICALS LTD
"CAPOTEN 5 mg/ml, solution buvable",captopril,, ,,, ,ASPEN PHARMA
"COLESTID 5 g, granulés pour suspension buvable",colestipol,, ,,, ,PFIZER GLOBAL MANUFACTURING
"CUSTODIOL, solution pour perfusion",.,, ,,, ,LABORATOIRE KOHLER CHEMIE
"DEMSER 250 mg, comprimé",métyrosine,, ,,, ,ATON PHARMA
"L-DOPS 100 mg, gélule",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"L-DOPS 200 mg, gélule",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"MARCOUMAR 3 mg, comprimé sécable",phenprocoumone,, ,,, ,HOFFMANN-LA-ROCHE SA
"NIFEDIPINE RATIOPHARM 20 mg/ml, solution buvable en gouttes",nifédipine,, ,,, ,RATIOPHARM GMHB
"PICIBANIL 1KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,, ,CHUGAI PHARMA FRANCE
"PROPRANOLOL PIERRE FABRE DERMATOLOGIE 3,75 mg/ml, solution buvable",chlorhydrate de propranolol,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PIERRE FABRE DERMATOLOGIE Pharma (05 63,PIERRE FABRE DERMATOLOGIE
"REGITINE 10 mg/ml, solution injectable",phentolamine,, ,,, ,NOVARTIS PHARMA SA
"SIMDAX, solution pour perfusion",levosimendan,, ,,, ,ORION PHARMA LTD
"SYPROL 10 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"SYPROL 5 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"SYPROL 50 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"WARFARIN SODIUM 1 mg/ml, suspension buvable",warfarine sodique,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Pfizer (Tél : 01.58.07.30.00 ; email: Atu.Atgam@pfizer.com),PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,, ,AVENTIS PASTEUR S.A.
"BOTULISM ANTITOXIN BEHRING, solution pour perfusion","antitoxines botuliques de type A, B et E",, ,,, ,NOVARTIS VACCINES AND DIAGNOSTICS GMBH & CO. KG
"DIPHTHERIA ANTITOXIN BUTANTAN 1000UI/ml, solution injectable",Immunoglobulines équines anti-diphtériques,, ,,, ,INSTITUTO BUTANTAN
"EPICEL, feuillets de kératinocytes autologues sur support",keratinocytes autologues cultivés,, ,,, ,GENZYME BIOSURGERY
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,, ,CSL BEHRING GMBH
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,, ,BAXTER SAS
"IVEGAM-CMV, solution injectable",Immunoglobulines humaines anti-CMV,, ,,, ,CAF-DCF
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,, ,BIOTEST PHARMA GMBH
"BIOBAG, sachet",larves de Lucilia sericata,, ,,, ,BIOMONDE GMBH
"DAPSONE 50 mg, comprimé",dapsone,, ,,,"Cette spécialité ne contient pas de fer contrairement à la spécialité disponible en France dans le cadre d'une AMM (DISULONE 50 mg, comprimé).",ACTAVIS LTD
"DIBENZYRAN 10 mg, comprimé",phénoxybenzamide (chlorhydrate),, ,,, ,PROCTER & GAMBLE PHARMACEUTICALS
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"PERMETHRIN 5% w/w, crème",perméthrine,, ,,, ,SANDOZ LTD
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,, ,UDL LABORATORIES INC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,, ,UDL LABORATORIES INC
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,, ,CRITICAL THERAPEUTICS INC
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,, ,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,, ,BAYER HEALTH CARE
"LODOSYN 25 mg, comprimé",carbidopa,, ,,, ,ATON PHARMA
"METRELEPTIN 5 mg/ml, poudre pour solution injectable",métréleptin,, ,,, ,BRISTOL MYERS SQUIBB
"NIZORAL 200 mg, comprimé",kétoconazole,, ,,, ,JANSSEN CILAG NV
"OXANDROLONE USP 2.5 mg, comprimé",oxandrolone,, ,,, ,PAR PHARM
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,, ,TEVA GLOBAL
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,, ,UCYCLYD PHARMA INC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,, ,SERB
"KREON FUR KINDER, granulés gastro-résistants",pancréatine d'origine porcine,, ,,, ,ABBOTT ARZNEIMITTEL GMBH
"NORMIX 200 mg, comprimé pelliculé",rifaximine,, ,,, ,ALFA WASSERMANN
"NORMIX 2g/100 ml, granulés pour solution buvable",rifaximine,, ,,, ,ALFA WASSERMANN
"PYLERA 140 mg, 125 mg, 125, gélule","subcitrate de bismuth, métronidazole, chlorhydrate de tétracycline",,10/04/2013,,0,Cette spécialité est désormais disponible selon son AMM obtenue en janvier 2012.,APTALIS
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,, ,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,, ,DR FALK PHARMA GMBH
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,, ,ALLIANCE PHARMACEUTICALS
