?postURL;?datePost;?threadURL;?threadTitle;?parentThread;?contentPost;?creatorPost;?sexe;?age;;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/saignement-regle-sujet_162728_1.htm#post_0>;"""2013-06-12""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/saignement-regle-sujet_162728_1.htm>;saignement ou règle ?;IVG;Bonjour, Alors j'ai subit une ivg médicamenteuse (rupture de preservatif) le samedi 26 mai que je vis très bien (j'etais à trois semaine de grossesse). Je ne pouvais tout simplement pas me permettre de garder un enfant dans ma situation actuelle. Après mon ivg qui s'est très bien déroulée, j'ai pris la pilule que le gynéco ma prescrit dès le lendemain ( Lovavulo Gé). J'ai eu des saignement pendant 5 jours a peu près, puis des pertes marrons pendant environ 3 jours, et depuis j'ai de nouveau des saignements qui ressemblent des règles. Mais vu que je prend la pilule, et que je n'ai pas encore fini ma première plaquette, je ne sais pas si ce sont mes règles (ce qui ne semble pas trop logique) ou si ce sont des saignement suite à l'ivg. J'ai fais une pds 12 jours après l'ivg, mon taux d'hcg etait de plus de 4 000 et il est descendu a 18. J'ai appelé la gyneco qui s'est occupé de moi, et elle m'a dit que tout etait normal sans me donner de visite de controle. Pour finir, je vous écris car depuis quelques jours, j'ai mal au dos et au ventre avec des nausées, et je voulais savoir si c'est la pilule qui me donne ces effets secondaires ainsi que les saignements? J'ai l'impression d'avoir les mêmes symptomes de grossesse que la dernière fois. J'ai eu un rapprot il y a une dizaine de jour avec mon copain, mais nous étions proteger comme d'habitude par le préservatif et par la pilule (donc risque zero il me semble). Donc je ne sais pas trop ce qui ce passe dans mon corps. merci en tout cas de prendre le temps de lire mon message et d'y répondre si jamais vous avez une idée ou suposition, ou autre.;<http://club.doctissimo.fr/sterek/>;female;"""1992-09-19""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/sentiment-monstre-sujet_162912_1.htm#post_0>;"""2013-08-19""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/sentiment-monstre-sujet_162912_1.htm>;apres ivg, le sentiment d'être un monstre;IVG;Bonsoir, Je vous écris car cela fait 1 semaine que j'ai fait une ivg médicamenteuse et je me sens mal, pas que physiquement... Je ne peux parler de mon mal être à personne, sentiment d'être incomprise, proches qui essaient d'avoir un enfant avec difficultés. bref, j'ai 29 ans, je suis maman d'un petite fille de deux ans et demi et séparée de son père depuis bientôt 2 ans suite à des violences conjugales. Je dois aller à chaque fois chez le père de ma fille pour qu'il la voie, j'essaie d'entretenir le lien père enfant. celui-ci ne veut pas se déplacer, estimant que c'est moi qui est partie et que tout est de ma faute. Il y'a un peu plus d'un mois, j'ai accepté de rester quelques jours chez lui pour qu'elle voit ses grand-parents. Il habite à 200km de mon nouveau logement qu'il ne connait pas (il pense que je vis chez ma mère) et j'ai accepté. Un soir, il s'est passé l'irréparable, et après quelques jours j'ai fait un test de grossesse qui était positif... Le doute s'est installé, surtout la panique, que dois-je faire? J'ai alors fait des recherches sur internet, je mes suis dit que je ne pouvais pas avoir cet enfant, avec ma petite, sans emploi, je suis en pleine reconstruction et pleine de projets. J'ai pris rdv dans un hopital, en gynécologie, voyant plein de femmes avec leur gros ventre...que j'enviais et mon sentiment de culpabilité à commencé à naître. Après un 2eme rdv, j'ai pris le premier cachet devant une infirmiere remplissant les paperasses... j'ai eu beaucoup de mal à avaler le comprimé, il a fallu que je boive beaucoup d'eau. Je pleurais...je savais que je venais de tuer mon bébé et que je ne pouvais plus retourner en arrière. Le lendemain j'expulsais déjà l'oeuf avec le petit placenta. C'était fini, mon bébé était parti... Je suis quand même retournée à l'hopital pour prendre les 2 autres comprimés;;;;;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/suite-grossesse-sterilet-sujet_165904_1.htm#post_0>;"""2016-01-25""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/suite-grossesse-sterilet-sujet_165904_1.htm>;IVG suite grossesse + stérilet;IVG;Bonsoir... Je suis anéantie. J'ai un fils de 5 mois et un stérilet depuis le 17 décembre (pas de grossesse avant car préservatif et pds - avant la pose). Depuis 10j j'ai des nausées, ballonnement... bref j'ai fait un tg ce soir et il s'avère + que positif (barre contrôle plus foncée que la barre test) J'ai dc plusieurs interrogation quant à livg ac un stérilet ??? :/;<http://club.doctissimo.fr/tytoune45/>;female;"""1992-01-05""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/adresse-gynecologue-urgent-sujet_163788_1.htm#post_0>;"""2015-01-21""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/adresse-gynecologue-urgent-sujet_163788_1.htm>;Urgent Adresse gynecologue pour ivg urgent;IVG;Bonjour J'ai besoin de votre aide qui connaît un bon gynecologue d'urgence pour un ivg car j'ai consulté les planning familial et les cliniques mais les délais sont longs et y'a pas de place Merci de votre aide;<http://club.doctissimo.fr/nadiamovenpick/>;female;"""1990-01-01""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/enceinte-apporter-soutien-sujet_162438_1.htm#post_0>;"""2013-03-02""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/enceinte-apporter-soutien-sujet_162438_1.htm>;enceinte ou pas?je suis perdue, qui peut m'apporter un peu de soutien;IVG;bonsoir j'aimerai pouvoir trouver un peu de soutient, je ne sais pas ou j'en suis, > j'ai deux enfants nés prématurés j'ai voulu les gardés je les aime plus que tout, je le ai choyé depuis leur naissance. depuis je vis un calvaire, la justice a fait un signalement contre moi quand j'étais enceinte du 2nd et a tout fait pour me les enlever et les remettre a leur père, qui refusait mes grossesse catégoriquement... > actuellement, j'ai un retard de règles, je pense;;;;;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/ivg-mutuelle-sujet_165832_1.htm#post_0>;"""2015-12-16""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/ivg-mutuelle-sujet_165832_1.htm>;IVG sans cmu et mutuelle;IVG;Bonjour j'ai appris que je suis enceinte , je voudrais avoir recours à une IVG médicamenteuse . j'ai pas de mutuelle pas de cmu , je vie chez mes parents, j'ai 22 ans et aucune ressources ! On m'a expliquer que je devais prendre rdv à hôpital, qu'il aura un rdv pour une l'ecographie un autre pour une prise de sang et parler à une conseillère et puis un rdv pour la première prise de medicament la bas et on me passera le deuxième medicament car je vais avorter sans hospitalisation à la maison je ne serais pas seule ce jour là Ma question : sans cmu et mutuelle je devrais payer l'ecographie et la prise de sang ? Ou la prise des comprimée ? Sachant que IVG est remboursé à 100% Merci beaucoup .;<http://club.doctissimo.fr/sarahbrune93/>;female;"""2011-05-05""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/raison-besoin-conseil-sujet_162978_1.htm#post_0>;"""2013-09-24""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/raison-besoin-conseil-sujet_162978_1.htm>;Le coeur ou la raison pour cet ivg je suis perdu besoin de conseil;IVG;Je vous explique mon cas je suis maman de 35ans et mon fils va avoir ces 1 ans debut octobre,je vis avec son papa mais on ne s'entend plus,on va se quitter et entre temps japprend une grossesse malgre la prise de pillule contraceptif donc jt tres choque apprendre la nouvelle jai du l'apprendre au papa il me dit qu'au debut il ete tres choque lui aussi mais il assumera son role de pere et assumera ses deux enfant si je decide de le garder (il parle niveau financier)jen parle a ma famille ma mere me dis avorter ma soeur aussi,que deux enfants seule jpourrais pas assumer surtt que leur pere est un con jamais present,donc je decide de faire les demarches pour echo et ivg donc je suis enceinte de 8sa jarrete pas de pleurer car jai mon intervention ce vendredi mais je suis plus sure de vouloir cet ivg de devoir mettre un terme a la vie de mon bebe son coeur bat deja et je sais que je ne men remettrais pas,je travail mais je gagne que le smic mon fils c mes parents qui le garde la journee,je me suis dis je prendrai un conge parentale si je garde mon bb mais financierement est ce que je v reussir a men sortir jai peur je doute,combien je toucherais,je cherche en plus un logemment pour moi unr colocation car une maman celibataire et jai toujours pas trouver .aider moi vendredi approche et j'hesite encore je suis aneantie par le bon choix a faire .;<http://club.doctissimo.fr/missbabys/>;female;"""1978-07-05""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/ratee-obligee-aidez-sujet_160321_1.htm#post_0>;"""2011-06-20""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/ratee-obligee-aidez-sujet_160321_1.htm>;"ivg ratée, \""obligée\"" d'avorter à l'etranger ...AIDEZ MOI !!!";IVG;Bonsoir, Mon histoire est stupide, triste, mais je suis perdue ... Je suis maman d'un petit garcon de 7ans (séparée du papa) et en couple depuis 2 ans. J'ai subi une ivg medicamenteuse le 05avril. Depuis j'avais repris ma pillule comme prescrit mais omis de me rendre à l'écho de contrôle 10j apres (grossière erreur je sais). Le jour de l'ivg, j'ai saigné mais pas ressenti de contractions, et depuis j'avais toujours les symptomes de grossesse, et toujours pas de regles. Suit donc prise de sang, echo, et je suis enceinte de 3mois et demie ..!! J'ai affronté la colère de mon copain, de ma mère, et disons que dans mon village je n'ai pas beaucoup d'amies!!! Pour mon copain il est inconcevable que je garde cet enfant, pour multiples raisons, et c'est dailleurs pour ca que j'avais avorté à la base, mais la c'est dur, je le sens en moi, et puis j'appréhende un avortement à l'étranger vu que j'ai dépassé le délai legal en france... J'ai encore les images de cette écho... Mon copain a mis les voiles ce soir, je suis seule, sans vraiment trop connaitre ni les tarifs ni les lieux d'une ivg en espagne, je sais que cette opération me reviendrait cher, et je ne sais même pas si je suis sure de ne pas le garder, malgre les difficultés qui m'attendent ....;<http://club.doctissimo.fr/no2006/>;female;"""1983-01-17""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/sujet_159876_1.htm#post_0>;"""2011-03-09""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/sujet_159876_1.htm>;2 ivg ou plus;IVG;bonjour, es ce que l'une d'entre vous aurais subi plusieurs ivg? moi oui et j'ai l'impression d'etre la seule.;<http://club.doctissimo.fr/madaka/>;female;"""1988-04-22""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/intermediaire-infirmiere-sujet_164024_1.htm#post_0>;"""2015-06-01""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/intermediaire-infirmiere-sujet_164024_1.htm>;ivg par l'intermédiaire d'une infirmière?;IVG;Bonjour à tous. Voilà j'ai 26 ans, je suis enceinte de 2 semaines et je souhaite avorter. Ma question est la suivante, puis je m'adresser à une infirmière libérale pour une ivg médicamenteuse? Je ne veux pas aller à l'hôpital. Merci d'avance pour vos réponses;<http://club.doctissimo.fr/sahara789/>;female;"""1989-04-08""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/retrouver-desire-ivg-sujet_158884_1.htm#post_0>;"""2010-07-12""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/retrouver-desire-ivg-sujet_158884_1.htm>;retrouver le desire aprés une IVG;IVG;Coucou a toutes ! (et a tous ? ! )   Voila, je voulais savoir si vous aviez vecu le manque de désire de la part de votre compagnon ? Mon homme ne me touche plus depuis qu'il sait que je suis enceinte et que je vais avorter... il me dit qu'on va deja lui faire assez de mal comme ça... et surtout il ne veut pas le sentir bouger !   je sais que jusqu'a mon IVG (Jeudi) il ne me touchera pas ! Mais comment faire aprés pour lui redonner envie ? j'ai peur qu'il ne veuille plus jamais faire l'amour et qu'il me quitte...   aidez moi ! bisouss !!;<http://club.doctissimo.fr/clochette0302/>;female;"""1989-02-03""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/questions-future-grossesse-sujet_158910_1.htm#post_0>;"""2010-07-16""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/questions-future-grossesse-sujet_158910_1.htm>;questions sur l'ivg et future grossesse;IVG;Bonjour à toutes                                                                                         Voila la semaine prochaine je vais à un premier rdv pout avorter, et j'aurais voulu des temoignages de femmes ayant subis une intervention soit par medicament ou par aspiration.savoir comment sa se passe de a à z....car je ne sais pas quoi choisir.... merci pr vos reponses...;<http://club.doctissimo.fr/thiac/>;female;"""1987-05-31""^^<http://www.w3.org/2001/XMLSchema#date>";;;
